"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FR"|"Volts"|0.0|5.0|50,"brakerear"|"Volts"|0.0|5.0|50,"Analog3"|""|0.0|5.0|10,"Analog4"|""|0.0|5.0|10,"Analog5"|"Volts"|0.0|5.0|10,"brakepress"|"Volts"|0.0|5.0|50,"STR"|"Volts"|0.0|5.0|50,"Battery"|"Volts"|0.0|20.0|50,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|25,"tiretemp"|"celsius"|-1000|1000|10,"tiretemp1"|""|-1000|1000|10,"tiretemp2"|""|-1000|1000|10,"tiretemp3"|""|-1000|1000|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Distance"|"mi"|0.0|0.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10
2383,0,1.23,0.49,,,,0.53,2.79,3.52,,,,,,,,,,,,,,,,,
2403,0,1.23,0.49,,,,0.53,2.79,3.49,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2423,0,1.23,0.48,,,,0.54,2.78,3.51,,,,,,,,,,,,,,,,,
2443,0,1.23,0.48,0.0,0.28,0.46,0.54,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2463,0,1.24,0.49,,,,0.54,2.79,3.51,,,,,,,,,,,,,,,,,
2483,0,1.23,0.49,,,,0.54,2.79,3.47,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2503,0,1.23,0.49,,,,0.54,2.79,3.51,,,,,,,,,,,,,,,,,
2523,0,1.23,0.49,,,,0.54,2.79,3.46,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2543,0,1.23,0.49,0.0,0.28,0.48,0.55,2.79,3.5,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2563,0,1.23,0.49,,,,0.55,2.79,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2583,0,1.23,0.49,,,,0.55,2.78,3.52,,,,,,,,,,,,,,,,,
2603,0,1.22,0.49,,,,0.55,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2623,0,1.23,0.49,,,,0.56,2.79,3.51,,,,,,,,,,,,,,,,,
2643,0,1.23,0.48,0.0,0.28,0.49,0.56,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2663,0,1.23,0.49,,,,0.56,2.78,3.51,,,,,,,,,,,,,,,,,
2683,0,1.23,0.49,,,,0.56,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2703,0,1.23,0.48,,,,0.56,2.8,3.51,,,,,,,,,,,,,,,,,
2723,0,1.23,0.49,,,,0.57,2.79,3.52,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2743,0,1.23,0.48,0.0,0.28,0.5,0.57,2.78,3.51,,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2763,0,1.23,0.49,,,,0.57,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2783,0,1.23,0.49,,,,0.57,2.79,3.52,,,,,,,,,,,,,,,,,
2803,0,1.23,0.48,,,,0.57,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,,,,,,,,,,
2823,0,1.23,0.48,,,,0.58,2.78,3.51,,,,,,,,,,,,,,,,,
2843,0,1.23,0.48,0.0,0.28,0.51,0.58,2.78,3.48,-0.01,-0.02,1.0,-0,-0,-0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
2863,0,1.22,0.49,,,,0.58,2.79,3.51,,,,,,,,,,,,,,,,,
